GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AH37M001,AH37M002,AH37M003
"G0500450","2013-2017",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",,,551,664,754
"G0500470","2013-2017",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",,,206,265,229
"G0500490","2013-2017",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",,,233,259,179
"G0500510","2013-2017",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",,,745,722,812
"G0500530","2013-2017",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",,,216,248,210
"G0500550","2013-2017",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",,,350,409,429
"G0500570","2013-2017",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",,,364,301,321
"G0500590","2013-2017",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",,,383,392,370
"G0500610","2013-2017",,,"Arkansas","05","Howard County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Arkansas",,,234,193,214
"G0500630","2013-2017",,,"Arkansas","05","Independence County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Independence County, Arkansas",,,414,478,386
"G0500650","2013-2017",,,"Arkansas","05","Izard County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Izard County, Arkansas",,,222,231,184
"G0500670","2013-2017",,,"Arkansas","05","Jackson County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Arkansas",,,275,219,265
"G0500690","2013-2017",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",,,607,561,517
"G0500710","2013-2017",,,"Arkansas","05","Johnson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Arkansas",,,265,304,249
"G0500730","2013-2017",,,"Arkansas","05","Lafayette County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafayette County, Arkansas",,,141,134,113
"G0500750","2013-2017",,,"Arkansas","05","Lawrence County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Arkansas",,,193,206,184
"G0500770","2013-2017",,,"Arkansas","05","Lee County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Arkansas",,,167,159,187
"G0500790","2013-2017",,,"Arkansas","05","Lincoln County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Arkansas",,,377,288,200
